"number_of_repetitions","sizes"
5,"5000"
9,"1000"
4,"500"
3,"100"
8,"500"
5,"500"
6,"10000"
3,"5000"
10,"100"
7,"5000"
1,"100"
3,"100000"
8,"1000"
4,"5000"
4,"100"
5,"50000"
4,"50000"
2,"50000"
7,"50000"
6,"1000"
2,"100000"
10,"50000"
1,"50000"
9,"100000"
0,"50000"
1,"10000"
5,"100"
9,"5000"
0,"5000"
1,"1000"
2,"10000"
5,"1000"
9,"100"
7,"100000"
0,"100000"
2,"100"
8,"50000"
6,"5000"
10,"100000"
7,"100"
0,"10000"
10,"5000"
2,"5000"
5,"100000"
7,"10000"
10,"500"
8,"10000"
0,"500"
7,"1000"
3,"500"
7,"500"
0,"1000"
8,"5000"
5,"10000"
8,"100"
6,"100"
4,"10000"
10,"10000"
2,"1000"
4,"100000"
10,"1000"
1,"100000"
3,"50000"
6,"500"
0,"100"
3,"1000"
9,"500"
9,"10000"
9,"50000"
6,"100000"
8,"100000"
6,"50000"
1,"5000"
2,"500"
4,"1000"
3,"10000"
1,"500"
